28,93,15,1,130
22,93,27,3,122
27,31,17,1,40
22,32,11,1,41
14,39,14,1,51
28,53,22,4,67
28,56,21,1,67
4,56,19,2,64
27,57,20,1,67
29,57,16,4,67
6,57,20,3,64
22,61,26,4,78
12,61,17,4,77
14,61,30,4,77
20,61,19,4,78
9,61,44,1,77
11,61,26,1,77
14,62,17,3,77
22,62,25,2,78
18,62,20,4,78
11,63,13,1,77
27,64,18,4,79
14,64,26,3,77
26,65,28,4,79
12,65,24,4,77
14,66,25,4,77
5,66,20,4,76
20,69,14,1,0
22,69,16,4,90
19,69,15,4,89
26,69,27,4,91
14,70,28,4,88
21,73,26,4,90
20,73,25,4,90
14,73,25,1,88
11,74,26,1,88
1,77,29,1,104
0,77,30,1,104
19,78,26,4,106
9,77,15,1,105
17,78,27,4,106
17,79,14,1,106
21,78,28,4,106
22,77,28,3,106
22,78,28,3,106
26,86,18,2,123
28,86,25,4,123
27,89,26,4,123
81,27,27,3,0
51,27,28,3,35
96,28,26,3,39
77,28,26,4,38
73,28,25,4,38
54,28,23,4,36
57,28,24,4,36
58,28,22,4,36
55,28,24,4,36
35,29,26,4,30
51,29,23,4,35
64,29,23,3,37
72,30,10,1,0
87,29,10,1,0
97,30,9,1,0
76,30,9,1,0
93,30,13,1,0
95,30,10,1,39
61,30,11,1,0
97,31,20,1,0
72,32,25,4,38
21,93,10,1,122
26,94,23,4,130
22,94,30,3,122
26,96,25,4,130
22,99,26,3,0
17,99,27,4,122
19,99,25,4,122
18,99,25,4,122
18,44,12,1,54
19,48,12,1,54
26,46,25,4,61
28,48,11,1,61
26,48,24,3,61
1,54,26,4,64
2,56,26,1,64
26,57,19,4,67
26,53,20,1,67
11,45,10,1,52
1,57,23,3,64
3,57,17,4,64
18,46,28,1,54
26,55,22,4,67
26,54,11,1,67
1,61,25,4,76
2,61,26,4,76
3,61,25,4,76
4,61,23,4,76
5,61,23,4,76
6,61,23,4,76
5,62,24,4,76
5,64,23,4,0
9,63,30,1,77
11,65,27,3,77
9,66,21,3,0
4,65,23,4,76
10,69,24,2,88
9,71,15,4,88
9,72,20,4,88
17,69,28,3,89
18,71,29,1,89
18,72,25,3,89
18,73,24,3,89
22,73,20,2,90
22,71,27,3,90
22,70,27,4,90
26,71,29,4,91
22,64,26,4,78
26,62,18,4,79
26,63,15,4,79
26,61,11,1,79
27,61,19,1,79
28,61,20,4,79
17,61,21,4,78
18,65,28,1,78
17,64,10,1,78
21,65,24,4,78
23,65,25,4,78
2,71,15,1,87
6,74,24,2,87
12,70,31,3,88
19,65,18,1,78
9,64,17,4,77
27,73,14,2,91
4,74,24,4,87
26,66,29,4,79
1,79,27,3,104
11,81,9,1,118
18,81,15,1,106
27,90,29,1,123
21,98,11,3,122
18,95,14,4,137
18,92,27,1,122
19,91,9,1,0
26,98,25,1,130
20,89,8,1,122
21,96,19,1,122
22,86,28,2,122
18,89,25,2,122
78,53,36,4,71
91,53,16,4,72
56,53,22,4,70
79,53,29,4,71
96,53,22,4,72
76,53,22,4,71
64,53,24,3,70
63,53,26,1,70
39,53,27,1,68
87,53,28,3,72
98,53,30,1,0
51,54,25,4,70
60,36,29,2,47
63,47,11,1,57
44,37,23,2,46
56,49,25,3,57
56,49,27,3,57
47,64,26,4,81
47,62,24,4,81
44,61,28,3,81
54,62,20,1,82
62,65,14,4,82
64,66,13,4,82
64,64,14,4,82
61,57,22,4,74
62,56,28,2,74
61,53,28,1,70
59,53,33,1,70
58,53,29,2,70
55,53,27,4,70
54,55,9,1,0
77,19,8,1,20
88,19,14,4,21
61,19,31,2,19
60,19,21,4,19
86,19,15,3,21
75,19,23,2,0
90,19,20,3,21
81,19,15,3,20
85,20,15,3,21
92,20,17,4,21
93,20,21,4,21
76,21,9,3,0
91,21,9,1,0
98,20,20,2,22
85,21,18,4,21
70,20,24,1,20
74,22,11,1,0
85,23,18,4,21
95,23,14,4,21
60,22,29,2,25
98,23,27,3,0
96,24,25,4,21
76,23,20,4,20
75,24,25,3,20
73,24,21,4,20
60,24,19,2,25
60,32,23,3,36
71,32,27,4,38
75,32,25,3,38
93,32,24,4,39
95,32,15,4,0
61,32,26,4,36
69,32,27,4,38
91,32,26,4,39
65,32,27,4,0
68,32,28,4,38
92,32,26,4,39
45,32,24,3,34
82,32,27,4,0
85,33,21,4,39
57,31,12,1,36
52,32,12,1,42
85,36,23,4,50
30,98,31,1,131
46,98,17,4,134
55,99,10,1,135
62,99,26,2,136
64,98,20,1,136
38,99,30,3,132
61,49,27,1,57
61,47,20,1,57
61,36,27,4,47
43,39,29,3,46
43,40,25,2,46
37,36,27,4,45
47,40,28,3,46
39,36,25,4,45
35,36,31,3,45
47,36,26,4,46
36,36,28,4,45
76,36,17,4,48
38,37,9,1,45
85,37,23,4,50
91,37,23,4,0
35,37,24,4,45
71,37,29,1,48
98,38,21,4,0
39,38,27,4,45
78,37,13,1,48
47,38,20,4,46
77,38,12,1,48
48,39,25,4,0
74,40,25,3,48
75,40,30,2,48
45,40,23,1,46
64,40,14,1,47
39,44,22,1,55
